appid,name,recommendations,is_free,price,api_currency,genre,free_or_paid,price_efficiency
377160,Fallout 4,275742,False,19.99,USD,RPG,Paid,13136.827060505004
3156770,Witchfire,11605,False,31.99,USD,Action,Paid,351.7732646256442
2221490,Tom Clancy’s The Division® 2,24236,False,7.49,USD,Action,Paid,2854.652532391048
1938090,Call of Duty®,402301,False,0.0,,Action,Paid,402301.0
678950,DRAGON BALL FighterZ,53196,False,9.59,USD,Action,Paid,5023.229461756374
266410,iRacing,4458,False,9.99,USD,Massively Multiplayer,Paid,405.64149226569606
740130,Tales of Arise,26993,False,9.99,USD,Action,Paid,2456.14194722475
1601570,The Alters,11316,False,24.49,USD,Adventure,Paid,443.9387995292272
1689620,BLEACH Rebirth of Souls,4183,False,35.99,USD,Action,Paid,113.0846174641795
1449110,The Outer Worlds 2,5754,False,69.99,USD,Action,Paid,81.05366953091985
3059520,F1® 25,13327,False,59.99,USD,Course automobile,Paid,218.51123134940153
1874880,Arma Reforger,37473,False,24.99,USD,Action,Paid,1441.8237783762986
1162750,Songs of Syx,6204,False,18.74,USD,Casual,Paid,314.28571428571433
911400,Assassin's Creed® III Remastered,12590,False,9.99,USD,Action,Paid,1145.5868971792538
1154030,Titan Quest II,13471,False,27.99,USD,Action,Paid,464.67747499137636
530611,End of Zoe,1108,False,3.74,USD,Action,Paid,233.75527426160338
291550,Brawlhalla,2892,True,0.0,,Action,Free,2892.0
570,Dota 2,14366,True,0.0,,Action,Free,14366.0
1604030,V Rising,104952,False,17.49,USD,Action,Paid,5676.149269875609
814000,ONE PIECE ODYSSEY,2327,False,14.79,USD,Action,Paid,147.37175427485752
578080,PUBG: BATTLEGROUNDS,1752908,True,0.0,,Action,Free,1752908.0
440900,Conan Exiles,74587,False,9.99,USD,Action,Paid,6786.80618744313
2070270,Cloudheim,433,False,26.99,USD,Action,Paid,15.469810646659521
526870,Satisfactory,214235,False,18.99,USD,Adventure,Paid,10717.10855427714
1129580,Medieval Dynasty,39672,False,17.49,USD,Action,Paid,2145.59221200649
1669000,Age of Wonders 4,15234,False,49.99,USD,RPG,Paid,298.7644636203177
3450960,Total War: WARHAMMER III - Aislinn – Tides of Torment,408,False,8.99,USD,Action,Paid,40.84084084084084
2356560,Monster Hunter Stories,939,False,9.89,USD,RPG,Paid,86.2258953168044
1372110,JoJo's Bizarre Adventure: All-Star Battle R,11334,False,9.99,USD,Action,Paid,1031.3011828935396
1446780,MONSTER HUNTER RISE,74021,False,7.99,USD,Action,Paid,8233.704115684093
1643320,S.T.A.L.K.E.R. 2: Heart of Chornobyl,95663,False,59.99,USD,Action,Paid,1568.503033284145
373420,Divinity: Original Sin - Enhanced Edition,24680,False,39.99,USD,Adventure,Paid,602.0980727006587
2186680,"Warhammer 40,000: Rogue Trader",26944,False,49.99,USD,Action,Paid,528.4173367326927
250900,The Binding of Isaac: Rebirth,335664,False,14.99,USD,Action,Paid,20992.120075046903
391220,Rise of the Tomb Raider™,117132,False,2.99,USD,Action,Paid,29356.390977443607
400750,Call to Arms - Gates of Hell: Ostfront,26939,False,34.99,USD,Action,Paid,748.5134759655459
3450970,Total War: WARHAMMER III - Sayl – Tides of Torment,245,False,8.99,USD,Action,Paid,24.524524524524523
2947440,SILENT HILL f,13334,False,36.99,USD,Action,Paid,350.9871018689129
2138330,Cyberpunk 2077: Phantom Liberty,20315,False,29.99,USD,RPG,Paid,655.5340432397547
976730,Halo: The Master Chief Collection,228453,False,39.99,USD,Action,Paid,5573.383752134667
3450980,Total War: WARHAMMER III - Dechala – Tides of Torment,262,False,8.99,USD,Action,Paid,26.226226226226224
2406770,Bodycam,35994,False,17.99,USD,Action,Paid,1895.4186413902055
1295660,Sid Meier's Civilization VII,38231,False,69.99,USD,Simulation,Paid,538.5406395266939
594570,Total War: WARHAMMER II,87542,False,59.99,USD,Action,Paid,1435.3500573864567
286160,Tabletop Simulator,45901,False,19.99,USD,Casual,Paid,2186.803239637923
431960,Wallpaper Engine,875482,False,2.99,USD,Casual,Paid,219419.0476190476
2688950,Planet Coaster 2,10488,False,24.99,USD,Simulation,Paid,403.53982300884957
883710,Resident Evil 2,126624,False,9.99,USD,Action,Paid,11521.74704276615
2119830,MISERY,11313,False,9.99,USD,Action,Paid,1029.3903548680619
